Epic ID,Epic Nom,Ticket ID,Titre,Type,Priorité,Statut
EPIC-3,Authentification & Rôles,AUTH-6,Frontend : ajouter NURSE au type UserRole + route /change-password + Sidebar,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-1,Backend : endpoint GET /attendances/today avec filtrage SUPERVISOR,Story,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-2,Backend : endpoint PUT /attendances/{id} — édition clockIn/clockOut/motif,Story,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-3,Backend : repository — findAllByDate + findAllByDateAndSupervisor,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-4,Frontend : types DailyAttendance et UpdateAttendanceRequest,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-5,Frontend : hook useFetchTodayPresence,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-6,Frontend : hook useImportPresence (batch-save + toast succès/erreur),Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-7,Frontend : hook useUpdateAttendance (toast succès/erreur),Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-8,Frontend : colonnes buildColumns avec badge statut calculé dynamiquement,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-9,Frontend : EditAttendanceModal — édition inline avec statut live,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-10,Frontend : PresenceClient — bouton import + table guard canImport,Story,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-11,Frontend : validation import — type fichier (.xlsx/.xls) + taille max 10 Mo,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-12,Frontend : PresencePage + route protégée (ADMIN SUPERVISOR SUPER_ADMIN),Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-13,Frontend : pagination 50 lignes/page dans PresenceClient,Task,Moyenne,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-14,Backend : entité AttendanceImport + AttendanceImportRepository (traçabilité des imports XLSX),Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-15,Backend : enregistrement de l'import dans attendance_imports après chaque batch-save,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-16,Shift Après-midi (14h-22h) + sélection automatique selon heure courante Tunis dans ManualPresenceModal,Story,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-17,Motif par employé (select inline) pour absents dans ManualPresenceModal,Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-18,Champ Motif converti en select dans EditAttendanceModal (liste fixe + pré-sélection valeur existante),Task,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-19,Bug: absenceReason absent de ManualPresenceEntryDto — motif ignoré à la soumission (toujours ABSENCE-SAISIE-SUPERVISEUR),Bug,Critique,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-20,Bug: statut EN ATTENTE pour absents avec motif — condition includes(ABSENCE) → any non-empty,Bug,Haute,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-21,Bug: retirer ABSENCE-SAISIE-SUPERVISEUR des listes de motifs + DEFAULT_MOTIF = CONGE PAYE,Bug,Moyenne,Done
EPIC-4,Module Présences / Absences (jour courant),PRE-22,Recherche temps réel (fullName + matricule) dans liste employés du formulaire manuel,Task,Moyenne,Done
EPIC-5,Module Historique Présences / Absences,HIS-1,Backend : endpoint GET /attendances/history avec filtrage SUPERVISOR + KPI,Story,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-2,Backend : endpoint GET /attendances/history/{matricule} avec filtrage SUPERVISOR,Story,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-3,Backend : repository — findAllForHistory + findAllForHistoryBySupervisor,Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-4,Backend : repository — findByMatriculeAndDateRange + variante superviseur,Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-5,Frontend : types HistoryFilter HistoryEmployeeSummary HistoryResponse,Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-6,Frontend : utilitaire buildDateRange (Africa/Tunis — sans décalage UTC),Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-7,Frontend : hook useFetchHistorySummary,Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-8,Frontend : hook useFetchEmployeeHistory,Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-9,Frontend : hook useUpdateHistoryAttendance (toast succès/erreur),Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-10,Frontend : FilterBar — presets (today/week/month/all) + custom range,Task,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-11,Frontend : HistoryClient — KPI cards + table employés + recherche,Story,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-12,Frontend : EmployeeHistoryDetail — vue détail journalier + EditModal inline,Story,Haute,Done
EPIC-5,Module Historique Présences / Absences,HIS-13,Frontend : pagination 25 lignes/page dans HistoryClient,Task,Moyenne,Done
EPIC-5,Module Historique Présences / Absences,HIS-14,Frontend : HistoriquePresencePage + route protégée,Task,Haute,Done
EPIC-6,RBAC & Sécurité,RBC-1,Backend : scoping SUPERVISOR sur findEmployeeHistory (détail par matricule),Story,Haute,Done
EPIC-6,RBAC & Sécurité,RBC-2,Backend : repository findByMatriculeAndDateRangeForSupervisor,Task,Haute,Done
EPIC-6,RBAC & Sécurité,RBC-3,Frontend : guard canEdit sur le bouton Éditer dans PresenceClient,Task,Moyenne,Done
EPIC-6,RBAC & Sécurité,RBC-4,Frontend : guard canEdit sur le bouton Modifier dans EmployeeHistoryDetail,Task,Moyenne,Done
EPIC-7,Bugs & Correctifs techniques,BUG-1,Fix : buildDateRange utilisait toISOString() (UTC) — date fausse à minuit Africa/Tunis,Bug,Haute,Done
EPIC-7,Bugs & Correctifs techniques,BUG-2,Fix : PostgreSQL could not determine data type of parameter $1 sur les requêtes history,Bug,Critique,Done
EPIC-7,Bugs & Correctifs techniques,BUG-3,Fix : CAST(:dateFrom AS LocalDate) dans les 4 requêtes avec paramètres date nullable,Task,Critique,Done
EPIC-7,Bugs & Correctifs techniques,BUG-4,Fix : bugs liste free operators,Bug,Haute,Done
EPIC-7,Bugs & Correctifs techniques,BUG-5,Fix : bugs module permutation,Bug,Haute,Done
EPIC-7,Bugs & Correctifs techniques,BUG-6,Fix : erreurs de build,Bug,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-1,Backend : entité Notification (userId titre message lien lu createdAt),Task,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-2,Backend : NotificationRepository — findByUserIdOrderByCreatedAtDesc + countUnread + markAllAsRead + markOneAsRead,Task,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-3,Backend : NotificationService — create / createForAll / findByUserId / countUnread / markAllAsRead / markAsRead,Story,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-4,Backend : NotificationController — GET /notifications + GET /unread-count + PATCH /mark-all-read + PATCH /{id}/mark-read,Story,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-5,Backend : sécuriser les endpoints notifications dans SecurityConfiguration,Task,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-6,Frontend : types NotificationDto dans modules/notifications/types.ts,Task,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-7,Frontend : hooks useFetchNotifications / useFetchUnreadCount / useMarkAllAsRead / useMarkAsRead,Task,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-8,Frontend : composant NotificationCenter (cloche + badge unread + dropdown liste + Tout marquer lu),Story,Haute,Done
EPIC-8,Module Notifications IN-APP,NOTIF-9,Frontend : intégration NotificationCenter dans la Sidebar,Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-1,Backend : entité SupervisorAdvanceTracking (supervisorId importId statut nbSaisies montant rappel timestamps),Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-2,Backend : SupervisorAdvanceTrackingRepository — findBySupervisorIdAndAttendanceImportId / findAllByAttendanceImportId / findPendingWithoutReminderForImport,Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-3,Backend : SupervisorAdvanceTrackingService — onAttendanceImported (création tracking + notification batch),Story,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-4,Backend : SupervisorAdvanceTrackingService — onAdvancesSaved (recalcul statut EN_ATTENTE/PARTIEL/COMPLETE),Story,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-5,Backend : SupervisorAdvanceTrackingService — getStats (KPI + liste pour page ADMIN),Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-6,Backend : SupervisorAdvanceTrackingService — sendManualReminder (notification individuelle),Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-7,Backend : SupervisorAdvanceTrackingService — sendAutomaticReminders (rappel 24h unique par import),Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-8,Backend : AdvanceReminderScheduler — cron toutes les heures déclenchant sendAutomaticReminders,Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-9,Backend : SupervisorAdvanceTrackingController — GET /supervisor-advance-tracking + POST /{id}/remind (ADMIN/SUPER_ADMIN),Story,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-10,Backend : DTOs SupervisorTrackingRowDto + SupervisorTrackingStatsDto,Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-11,Backend : SalaryAdvanceRepository — countSavedBySupervisorAndMonthAndYear + sumAmountBySupervisorAndMonthAndYear,Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-12,Frontend : types SupervisorTrackingRow / SupervisorTrackingStats / SupervisorTrackingStatut dans salary-advance/types.ts,Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-13,Frontend : hooks useFetchSupervisorTracking + useSendReminder,Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-14,Frontend : composant SupervisorTrackingClient (KPI cards filtrables + table + bouton Relancer),Story,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-15,Frontend : SalaryAdvancesTrackingPage + route protégée (ADMIN SUPER_ADMIN),Task,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-16,Bug: statut PARTIEL/COMPLETE calculé sur nbEmployees → nbEligibles (exclut domiciliés + absents maladie + moins de 40h),Bug,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-17,Fix source de données superviseurs — merge canonique useFetchSupervisors + données tracking (SupervisorTrackingClient),Story,Haute,Done
EPIC-9,Suivi Avances Superviseurs,SAT-18,Statistiques cartes (complétées/manquantes/total) recalculées depuis rows fusionnés (liste corrigée),Task,Haute,Done
EPIC-10,Dashboard Admin enrichi,DASH-1,Backend : AdminDashboardDto — section supervisorsPending (max 5 superviseurs en retard),Task,Haute,Done
EPIC-10,Dashboard Admin enrichi,DASH-2,Backend : DashboardService — calcul supervisorsPending depuis SupervisorAdvanceTracking,Task,Haute,Done
EPIC-10,Dashboard Admin enrichi,DASH-3,Backend : SupervisorPendingRowDto — trackingId matricule fullName nbEmployees montantTotal statut timestamps,Task,Haute,Done
EPIC-10,Dashboard Admin enrichi,DASH-4,Frontend : type SupervisorPendingRow dans dashboard/types.ts,Task,Haute,Done
EPIC-10,Dashboard Admin enrichi,DASH-5,Frontend : section Superviseurs en attente dans HomePage avec lien vers /salary-advances/tracking,Story,Haute,Done
EPIC-11,Module Avances — Améliorations,ADV-1,Champ Montant par défaut + bouton Appliquer à tous dans SalaryAdvancesClient (employés éligibles et non verrouillés),Story,Haute,Done
EPIC-11,Module Avances — Améliorations,ADV-2,Notifications email avances superviseurs (import + relance manuelle + rappel auto) via EmailService async — non bloquant,Story,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-1,Backend CRUD Département — create/update/delete + contrôles doublon insensible casse + contrôle usage dans Employee,Story,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-2,Backend CRUD Poste Occupé — create/update/delete + contrôles doublon insensible casse + contrôle usage dans Employee,Story,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-3,Backend CRUD Ligne de Production — create/update/delete + endpoint /admin (toutes lignes) + contrôles doublon et usage,Story,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-4,Frontend : module department (types hooks DepartmentClient DepartmentPage),Task,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-5,Frontend : module job-title (types hooks JobTitleClient JobTitlePage),Task,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-6,Frontend : module production-line (types hooks ProductionLineClient ProductionLinePage),Task,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-7,Sidebar : réorganisation en 5 groupes — Gestion RH inclut Départements + Postes Occupés + Lignes de Production,Task,Haute,Done
EPIC-12,Référentiels Organisation — CRUD complet,ORG-8,Sécurisation endpoints organisation — POST/PUT/DELETE → ADMIN + SUPER_ADMIN uniquement,Task,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-1,Backend : entité User enrichie (blocked lastLoginAt lastActivityAt lastActivityIp isAccountNonLocked),Task,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-2,Backend : entité UserActivityLog + UserActivityLogRepository + UserActivityLogService async (@Async),Task,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-3,Backend : UserAdminController — 5 endpoints admin (/api/v1/admin/users) + DTOs UserAdminDto UserStatsDto UserActivityLogDto,Story,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-4,Backend : traçage événements LOGIN / LOGIN_FAILED / LOGOUT / PASSWORD_CHANGE / ACCOUNT_BLOCKED / ACCOUNT_UNBLOCKED / ROLE_CHANGED,Task,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-5,Backend : JwtAuthenticationFilter — mise à jour lastActivityAt + lastActivityIp async à chaque requête authentifiée,Task,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-6,Backend : blocage de compte (isAccountNonLocked + 423 Locked au login géré par Spring Security),Task,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-7,Frontend : module user-management (types hooks UserManagementClient UserActivityModal) — tableau de bord + actions + journal,Story,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-8,Frontend : route /user-management + groupe Administration dans Sidebar (SUPER_ADMIN uniquement),Task,Haute,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-9,Bug: PSQLException 42P18 — @Query JPQL paramètres nullable → native SQL avec CAST(:eventType AS varchar) CAST(:from AS timestamp),Bug,Critique,Done
EPIC-13,Gestion des Utilisateurs — Module SUPER_ADMIN,USR-10,Bug: ORDER BY createdAt (camelCase Java) ajouté par Hibernate à la requête native — suppression Sort du PageRequest,Bug,Haute,Done
